title,abstract,research_problem,summary,research_categories,citation_forecast,nicheness,novelty,public_relevance,research_impact
Radiation resistant LGAD design,"  In this paper, we report on the radiation resistance of 50-micron thick LGAD
detectors manufactured at the Fondazione Bruno Kessler employing several
different doping combinations of the gain layer. LGAD detectors with gain layer
doping of Boron, Boron low-diffusion, Gallium, Carbonated Boron and Carbonated
Gallium have been designed and successfully produced. These sensors have been
exposed to neutron fluences up to $\phi_n \sim 3 \cdot 10^{16}\; n/cm^2$ and to
proton fluences up to $\phi_p \sim 9\cdot10^{15}\; p/cm^2$ to test their
radiation resistance. The experimental results show that Gallium-doped LGADs
are more heavily affected by initial acceptor removal than Boron-doped LGAD,
while the presence of Carbon reduces initial acceptor removal both for Gallium
and Boron doping. Boron low-diffusion shows a higher radiation resistance than
that of standard Boron implant, indicating a dependence of the initial acceptor
removal mechanism upon the implant width. This study also demonstrates that
proton irradiation is at least twice more effective in producing initial
acceptor removal, making proton irradiation far more damaging than neutron
irradiation.
",['This research aims to improve the radiation resistance of LGAD detectors for use in high-radiation environments.'],"['The study examines radiation resistance of LGAD detectors with various gain layer dopings', 'Gallium-doped LGADs show more initial acceptor removal than Boron-doped, while Carbon reduces this effect', 'Proton irradiation is found to be more damaging than neutron irradiation.']","['Particle Physics', 'Semiconductor Physics', 'Radiation Detection', 'Materials Science']",20 - 50,8,7,3,6
Windowed Carbon Nanotubes for Efficient CO2 Removal from Natural Gas,"  We demonstrate from molecular dynamics simulations that windowed carbon
nanotubes can efficiently separate CO2 from the CO2/CH4 mixture, resembling
polymeric hollow fibers for gas separation. Three CO2/CH4 mixtures with 30%,
50% and 80% CO2 are investigated as a function of applied pressure from 80 to
180 bar. In all simulated conditions, only CO2 permeation is observed; CH4 is
completely rejected by the nitrogen-functionalized windows or pores on the
nanotube wall in the accessible timescale, while maintaining a fast diffusion
rate along the tube. The estimated time-dependent CO2 permeance ranges from 107
to 105 GPU (gas permeation unit), compared with ~100 GPU for typical polymeric
membranes. CO2/CH4 selectivity is estimated to be ~108 from the difference in
free-energy barriers of permeation. This work suggests that a windowed carbon
nanotube can be used as a highly efficient medium, configurable in
hollow-fiber-like modules, for removing CO2 from natural gas.
",['This research aims to develop a more efficient method for separating CO2 from natural gas using windowed carbon nanotubes.'],"['Molecular dynamics simulations show windowed carbon nanotubes can efficiently separate CO2 from CO2/CH4 mixtures', 'Only CO2 permeates through nitrogen-functionalized windows while CH4 is rejected', 'The nanotubes demonstrate high CO2 permeance and selectivity compared to polymeric membranes.']","['Nanotechnology', 'Gas Separation', 'Molecular Dynamics', 'Materials Science']",50 - 150,8,7,6,8
Stability of multivacancies in graphene,"  The stability of graphene multivacancy systems is studied using Density
Functional Theory (DFT) calculations. This work describes the evolution of the
energy of formation per carbon atom for zigzag and armchair complementary
figures -i.e. the figure formed by the carbon atoms extracted from graphene to
form the vacancy-. Multivacancy systems formed when armchair complementary
figures are removed are more stable for higher orders (>5) in comparison with
the zigzag ones. The case of the construction of a 6-order vacancy from a
5-order one (branch-like) is discussed with the dependence on the place where
the extra carbon atom is removed from graphene. The stability of multivacancy
systems could be explained through the relative positions of the pentagonal
rings present in the resulting defected graphene structure, as the more
relevant factor. Other secondary factors that affect the stability of a
graphene multivacancy system are the dangling bonds magnetic arrangements and
their steric hindrance.
",['This research aims to understand the factors affecting the stability of graphene structures with multiple vacancies.'],"['DFT calculations are used to study graphene multivacancy stability', 'Armchair vacancies are more stable than zigzag for higher orders', 'Stability is mainly affected by pentagonal ring positions and secondarily by dangling bonds.']","['Materials Science', 'Condensed Matter Physics', 'Computational Chemistry', 'Nanotechnology']",15 - 30,8,6,3,5
Oxidation of graphene on metals,"  We use low-energy electron microscopy to investigate how graphene is removed
from Ru(0001) and Ir(111) by reaction with oxygen. We find two mechanisms on
Ru(0001). At short times, oxygen reacts with carbon monomers on the surrounding
Ru surface, decreasing their concentration below the equilibrium value. This
undersaturation causes a flux of carbon from graphene to the monomer gas. In
this initial mechanism, graphene is etched at a rate that is given precisely by
the same non-linear dependence on carbon monomer concentration that governs
growth. Thus, during both growth and etching, carbon attaches and detaches to
graphene as clusters of several carbon atoms. At later times, etching
accelerates. We present evidence that this process involves intercalated
oxygen, which destabilizes graphene. On Ir, this mechanism creates observable
holes. It also occurs mostly quickly near wrinkles in the graphene islands,
depends on the orientation of the graphene with respect to the Ir substrate,
and, in contrast to the first mechanism, can increase the density of carbon
monomers. We also observe that both layers of bilayer graphene islands on Ir
etch together, not sequentially.
",['This research aims to understand the mechanisms and factors influencing graphene removal from metal surfaces using oxygen.'],"['The study investigates graphene removal from Ru(0001) and Ir(111) surfaces using oxygen', 'Two mechanisms are identified on Ru(0001), involving carbon monomer reactions and intercalated oxygen', 'On Ir, the etching process is influenced by graphene orientation, wrinkles, and behaves differently for bilayer graphene.']","['Materials Science', 'Surface Chemistry', 'Nanotechnology', 'Electron Microscopy']",30 - 60,8,7,3,6
"One- and two-neutron removal reactions from the most neutron-rich carbon
  isotopes","  The structure of $^{19,20,22}$C has been investigated using high-energy
(about 240 MeV/nucleon) one- and two-neutron removal reactions on a carbon
target. Measurements were made of the inclusive cross sections and momentum
distributions for the charged residues. Narrow momentum distributions were
observed for one-neutron removal from $^{19}$C and $^{20}$C and two-neutron
removal from $^{22}$C. Two-neutron removal from $^{20}$C resulted in a
relatively broad momentum distribution. The results are compared with
eikonal-model calculations combined with shell-model structure information. The
neutron-removal cross sections and associated momentum distributions are
calculated for transitions to both the particle-bound and particle-unbound
final states. The calculations take into account the population of the mass
$A-1$ reaction residues, $^{A-1}$C, and, following one-neutron emission after
one-neutron removal, the mass $A-2$ two-neutron removal residues, $^{A-2}$C.
The smaller contributions of direct two-neutron removal, that populate the
$^{A-2}$C residues in a single step, are also computed. The data and
calculations are shown to be in good overall agreement and consistent with the
predicted shell-model ground state configurations and the one-neutron overlaps
with low-lying states in $^{18-21}$C. These suggest significant
$\nu{s}_{1/2}^2$ valence neutron configurations in both $^{20}$C and $^{22}$C.
The results for $^{22}$C strongly support the picture of $^{22}$C as a
two-neutron halo nucleus with a dominant $\nu{s}_{1/2}^2$ ground state
configuration.
",[],[],[],50 - 100,9,7,3,8
"REME -- Renewable Energy and Materials Economy -- The Path to Energy
  Security, Prosperity and Climate Stability","  A Renewable Energy and Materials Economy (REME) is proposed as the solution
to the climate change threat. REME mimics nature to produce carbon neutral
liquid fuels and chemicals as well as carbon negative materials by using water,
CO$_2$ from the atmosphere and renewable energy as inputs. By being in harmony
with nature REME has a positive feedback between economic development and
climate change protection. In REME the feedback driven accelerated rate of
economic growth enables the climate change threat to be addressed in a timely
manner. It is also cost-effective protection because it sequesters by
monetizing the carbon removed from the air in carbon-based building materials.
Thus, addressing the climate change threat is not a cost to the economy but a
result of REME driven prosperity.
",['This research aims to address climate change while promoting economic growth through a renewable energy and materials-based economy.'],"['A Renewable Energy and Materials Economy (REME) is proposed as a solution to climate change', 'REME uses water, atmospheric CO2, and renewable energy to produce carbon-neutral fuels and carbon-negative materials', 'This approach is cost-effective and promotes economic growth while addressing climate change.']","['Environmental Science', 'Renewable Energy', 'Climate Change Mitigation', 'Sustainable Economics']",50 - 150,6,7,8,7
"Universal map of gas-dependent kinetic selectivity in carbon nanotube
  growth","  Single-walled carbon nanotubes have been a candidate for outperforming
silicon in ultrascaled transistors, but the realization of nanotube-based
integrated circuits requires dense arrays of purely semiconducting species.
Control over kinetics and thermodynamics in tube-catalyst systems plays a key
role for direct growth of such nanotube arrays, and further progress requires
the comprehensive understanding of seemingly contradictory reports on the
growth kinetics. Here, we propose a universal kinetic model and provide its
quantitative verification by ethanol-based isotope labeling experiments. While
the removal of carbon from catalysts dominates the growth kinetics under a low
supply of precursors, our kinetic model and experiments demonstrate that
chirality-dependent growth rates emerge when sufficient amounts of carbon and
etching agents are co-supplied. As the model can be extended to create kinetic
maps as a function of gas compositions, our findings resolve discrepancies in
literature and offer rational strategies for chirality selective growth for
practical applications.
",['This research aims to resolve contradictory reports on carbon nanotube growth kinetics and provide a comprehensive understanding for controlled growth of semiconducting nanotube arrays.'],"['The paper proposes a universal kinetic model for carbon nanotube growth', 'It uses isotope labeling experiments to verify the model', 'The model explains chirality-dependent growth rates and offers strategies for selective growth.']","['Nanotechnology', 'Materials Science', 'Chemical Engineering', 'Electronics']",50 - 100,8,7,5,8
Single-Walled Carbon Nanotube Sample Purification,"  Removal of impurities and aggregates from as-grown single walled-carbon
nanotube (SWCNT) materials remains an important challenge in nanotube research
and applications. We report a simple but effective purification method that
uses permanent magnets to remove nanotube aggregates, as well as residual
metallic catalyst, from surfactant-coated aqueous SWCNT suspensions. Samples
have been characterized by optical absorption, fluorescence and Raman
spectroscopies; AFM and near-IR fluorescence microscopies; and TGA. We found
that magnetic purification gives samples with reduced absorption backgrounds
and high fluorescence efficiencies comparable to those prepared by
ultracentrifugation. Nanotubes in magnetically processed HiPco samples are at
least 80% individualized. We propose that SWCNT aggregates are preferentially
removed because they contain disproportionate amounts of ferromagnetic catalyst
particles. As compared to ultracentrifugation, magnetic processing offers major
advantages in cost, simplicity, energy consumption, and scalability.
",['This research addresses the challenge of purifying single-walled carbon nanotubes by removing impurities and aggregates'],"['A new method using magnets purifies carbon nanotube suspensions', 'The technique removes aggregates and metal catalysts effectively', 'It offers advantages over ultracentrifugation in cost and scalability']","['Nanotechnology', 'Materials Science', 'Chemical Engineering', 'Analytical Chemistry']",50 - 100,6,7,5,8
Mass transfer from a fluid flowing through a porous media,"  A mathematical model is developed for the process of mass transfer from a
fluid flowing through a packed column. Mass loss, whether by absorption or
adsorption, may be significant. This is appropriate for example when removing
contaminants from flue gases. With small mass loss the model reduces to a
simpler form which is appropriate to describe the removal of
contaminants/pollutants from liquids. A case study is carried out for the
removal of CO2 from a gas mixture passing over activated carbon. Using the
experimental parameter values it is shown, via non-dimensionalisation, that
certain terms may be neglected from the governing equations, resulting in a
form which may be solved analytically using a travelling wave substitution.
From this all important quantities throughout the column may be described;
concentration of gaseous materials, amount of material available for mass
transfer, fluid velocity and pressure. Results are verified by comparison with
experimental data for the breakthrough curve (the amount of carbon measured at
the column outlet). The advantage of the analytical expression over a purely
numerical solution is that it can easily be used to optimise the process. In
the final section we demonstrate how the model may be further reduced when
small amounts of contaminant are removed. The model is shown to exhibit better
agreement than established models when compared to experimental data for the
removal of amoxicillin and congo red dye from water.
","['This research aims to develop an accurate and versatile mathematical model for mass transfer processes in packed columns, applicable to both gas and liquid contaminant removal.']","['A mathematical model is developed for mass transfer in packed columns', 'The model is applied to CO2 removal from gas mixtures and simplified for analytical solutions', 'The model shows better agreement with experimental data than existing models for contaminant removal from water.']","['Chemical Engineering', 'Environmental Science', 'Applied Mathematics', 'Fluid Dynamics']",20 - 50,6,7,5,7
Solvation of Lithium Ion in Dimethoxyethane and Propylene Carbonate,"  Solvation of the lithium ion (Li+) in dimethoxyethane (DME) and propylene
carbonate (PC) is of scientific significance and urgency in the context of
lithium-ion batteries. I report PM7-MD simulations on the composition of Li+
solvation shells (SH) in a few DME/PC mixtures. The equimolar mixture features
preferential solvation by PC, in agreement with classical MD studies. However,
one DME molecule is always present in the first SH, supplementing the cage
formed by five PC molecules. As PC molecules get removed, DME gradually
substitutes vacant places. In the PC-poor mixtures, an entire SH is populated
by five DME molecules.
",[],[],"['Computational Chemistry', 'Electrochemistry', 'Materials Science', 'Physical Chemistry']",15 - 30,8,6,4,5
"Theory of water desalination by porous electrodes with fixed chemical
  charge","  Water desalination by capacitive deionization (CDI) is performed via
electrochemical cells consisting of two porous carbon electrodes. Upon
transferring charge from one electrode to the other, ions are removed from the
feedwater by electrosorption into electrical double layers (EDLs) within the
micropores of the porous carbon. When using electrodes containing fixed
chemical charge in the micropores, various counterintuitive observations have
been made, such as ""inverted CDI"" where upon charging, ions are released from
the electrode, and the feedwater is only desalinated when the cell is
discharging. We set up an EDL model including chemical charge that explains
these observations and makes predictions for a working range of enhanced
desalination by CDI.
",['This research aims to explain and predict the behavior of capacitive deionization systems with chemically charged electrodes for more efficient water desalination'],"['CDI uses porous carbon electrodes to remove ions from water', 'Electrodes with fixed chemical charge show counterintuitive behavior', 'An EDL model explains these observations and predicts enhanced desalination']","['Electrochemistry', 'Water Treatment', 'Materials Science', 'Environmental Engineering']",50 - 100,8,7,5,7
"Kondo effect due to a hydrogen impurity in graphene: a multichannel
  Kondo problem with diverging hybridization","  We consider the Kondo effect arising from a hydrogen impurity in graphene. As
a first approximation, the strong covalent bond to a carbon atom removes that
carbon atom without breaking the $C_{3}$ rotation symmetry, and we only retain
the Hubbard interaction on the three nearest neighbors of the removed carbon
atom which then behave as magnetic impurities. These three impurity spins are
coupled to three conduction channels with definite helicity, two of which
support a diverging local density of states (LDOS) $\propto 1/ [ | \omega \ |
\ln ^{2}( \Lambda /| \omega \ | \ ) \ ] $ near the Dirac point $\omega
\rightarrow 0$ even though the bulk density of states vanishes linearly. We
study the resulting 3-impurity multi-channel Kondo model using the numerical
renormalization group method. For weak potential scattering, the ground state
of the Kondo model is a particle-hole symmetric spin-$1/2$ doublet, with
ferromagnetic coupling between the three impurity spins; for moderate potential
scattering, the ground state becomes a particle-hole asymmetric spin singlet,
with antiferromagnetic coupling between the three impurity spins. This behavior
is inherited by the Anderson model containing the hydrogen impurity and all
four carbon atoms in its vicinity.
",[],[],"['Condensed Matter Physics', 'Quantum Many-Body Systems', 'Computational Physics', 'Materials Science']",30 - 80,8,7,3,6
The surprisingly low carbon mass in the debris disk around HD 32297,"  Gas has been detected in a number of debris disks. It is likely secondary,
i.e. produced by colliding solids. Here, we report ALMA Band 8 observations of
neutral carbon in the CO-rich debris disk around the 15--30 Myr old A-type star
HD 32297. We find that C$^0$ is located in a ring at $\sim$110 au with a FWHM
of $\sim$80 au, and has a mass of $(3.5\pm0.2)\times10^{-3}$ M$_\oplus$.
Naively, such a surprisingly small mass can be accumulated from CO
photo-dissociation in a time as short as $\sim$10$^4$ yr. We develop a simple
model for gas production and destruction in this system, properly accounting
for CO self-shielding and shielding by neutral carbon, and introducing a
removal mechanism for carbon gas. We find that the most likely scenario to
explain both C$^0$ and CO observations, is one where the carbon gas is rapidly
removed on a timescale of order a thousand years and the system maintains a
very high CO production rate of $\sim$15 M$_\oplus$ Myr$^{-1}$, much higher
than the rate of dust grind-down. We propose a possible scenario to meet these
peculiar conditions: the capture of carbon onto dust grains, followed by rapid
CO re-formation and re-release. In steady state, CO would continuously be
recycled, producing a CO-rich gas ring that shows no appreciable spreading over
time. This picture might be extended to explain other gas-rich debris disks.
","['This research aims to explain the unexpected gas composition and dynamics in the debris disk around HD 32297, particularly the small carbon mass and high CO production rate.']","['ALMA observations detected neutral carbon in a debris disk around HD 32297', 'A model was developed to explain the unexpectedly small carbon mass and high CO production rate', 'A scenario involving carbon capture and CO recycling is proposed to explain the observations.']","['Astrophysics', 'Planetary Science', 'Astrochemistry', 'Debris Disk Studies']",20 - 50,8,7,3,6
"From prosumer to flexumer: Case study on the value of flexibility in
  decarbonizing the multi-energy system of a manufacturing company","  Digitalization and sector coupling enable companies to turn into flexumers.
By using the flexibility of their multi-energy system (MES), they reduce costs
and carbon emissions while stabilizing the electricity system. However, to
identify the necessary investments in energy conversion and storage
technologies to leverage demand response (DR) potentials, companies need to
assess the value of flexibility. Therefore, this study quantifies the
flexibility value of a production company's MES by optimizing the synthesis,
design, and operation of a decarbonizing MES considering self-consumption
optimization, peak shaving, and integrated DR based on hourly prices and carbon
emission factors (CEFs). The detailed case study of a beverage company in
northern Germany considers vehicle-to-X of powered industrial trucks,
power-to-heat on multiple temperatures, wind turbines, photovoltaic systems,
and energy storage systems (thermal energy, electricity, and hydrogen). We
propose and apply novel data-driven metrics to evaluate the intensity of
price-based and CEF-based DR. The results reveal that flexibility usage reduces
decarbonization costs (by 19-80% depending on electricity and carbon removal
prices), total annual costs, operating carbon emissions, energy-weighted
average prices and CEFs, and fossil energy dependency. The results also suggest
that a net-zero operational carbon emission MES requires flexibility, which, in
an economic case, is provided by a combination of different flexible
technologies and storage systems that complement each other. While the value of
flexibility depends on various market and consumer-specific factors such as
electricity or carbon removal prices, this study highlights the importance of
demand flexibility for the decarbonization of MESs.
",['This research aims to help companies assess the value of flexibility in their multi-energy systems to identify necessary investments for leveraging demand response potentials and achieving cost-effective decarbonization.'],"[""This study quantifies the flexibility value of a production company's multi-energy system (MES) by optimizing its design and operation"", 'It considers various technologies and proposes novel metrics to evaluate demand response intensity', 'The results show that flexibility usage reduces decarbonization costs and emissions while highlighting the importance of demand flexibility for MES decarbonization.']","['Energy Systems', 'Demand Response', 'Decarbonization', 'Industrial Sustainability']",30 - 60,8,7,6,7
"First-principles study of configurational disorder in B$_{4}$C using a
  superatom-special quasirandom structure method","  Configurationally disordered crystalline boron carbide, B$_{4}$C, is studied
using first-principles calculations. We investigate both dilute and high
concentrations of carbon-boron substitutional defects. For the latter purpose,
we suggest a superatom's picture of the complex structure and combine it with a
special quasi-random structure approach for disorder. In this way, we model a
random distribution of high concentrations of the identified low-energy
defects: 1) Bipolar defects and 2) Rotation of icosahedral carbon among the
three polar-up sites. Additionally, the substitutional disorder of the
icosahedral carbon at all six polar sites, as previously discussed in the
literature, is also considered. Two configurational phase transitions from the
ordered to the disordered configurations are predicted to take place upon
increasing temperature using a mean-field approximation for the entropy. The
first transition, at 870 K, induces substitutional disorder of the icosahedral
carbon atoms among the three polar-up sites, meanwhile the second transition,
at 2325 K, reveals the random substitution of the icosahedral carbon atoms at
all six polar sites coexisting with bipolar defects. Already the first
transition removes the monoclinic distortion existing in the ordered ground
state configuration and restore the rhombohedral system (R3m). The restoration
of inversion symmetry yielding the full rhombohedral symmetry (R-3m) on
average, corresponding to what is reported in the literature, is achieved after
the second transition. The electronic density of states, obtained from the
disordered phases indicates a sensitivity of band gap to the degree of
configurational disorder in B$_{4}$C.
",['This research aims to understand the structural and electronic properties of disordered boron carbide at different temperatures and defect concentrations.'],"['First-principles calculations are used to study disordered boron carbide', 'Two configurational phase transitions are predicted at different temperatures', 'The electronic properties are found to be sensitive to the degree of disorder.']","['Materials Science', 'Computational Physics', 'Solid State Physics', 'Condensed Matter Physics']",20 - 40,8,7,3,6
Effects of Langmuir Turbulence on Upper Ocean Carbonate Chemistry,"  Effects of wave-driven Langmuir turbulence on the air-sea flux of carbon
dioxide (CO$_2$) are examined using large eddy simulations featuring actively
reacting carbonate chemistry in the ocean mixed layer at small scales. Four
strengths of Langmuir turbulence are examined with three types of carbonate
chemistry: time-dependent, instantaneous equilibrium chemistry, and no
reactions. The time-dependent model is obtained by reducing a detailed
eight-species chemical mechanism using computational singular perturbation
analysis, resulting in a quasi-steady-state approximation for hydrogen ion
(H$^+$), i.e., fixed pH. The reduced mechanism is then integrated in two
half-time steps before and after the advection solve using a
Runge--Kutta--Chebyshev scheme that is robust for stiff systems of differential
equations. The simulations show that, as the strength of Langmuir turbulence
increases, CO$_2$ fluxes are enhanced by rapid overturning of the near-surface
layer, which rivals the removal rate of CO$_2$ by time-dependent reactions.
Equilibrium chemistry and non-reactive models are found to bring more and less
carbon, respectively, into the ocean as compared to the more realistic
time-dependent model. These results have implications for Earth system models
that either neglect Langmuir turbulence or use equilibrium, instead of
time-dependent, chemical mechanisms.
",['This research aims to improve understanding of how wave-driven turbulence impacts air-sea CO2 exchange and how different chemical reaction models affect these predictions.'],"['The study examines how Langmuir turbulence affects CO2 flux between air and sea using large eddy simulations', 'It compares time-dependent, equilibrium, and non-reactive carbonate chemistry models', 'Results show Langmuir turbulence enhances CO2 flux, with implications for Earth system models.']","['Oceanography', 'Climate Science', 'Fluid Dynamics', 'Computational Chemistry']",30 - 60,8,7,5,7
"Native point defects and carbon clusters in 4H-SiC: A hybrid functional
  study","  We report first-principles calculations that clarify the formation energies
and charge transition levels of native point defects and carbon clusters in the
4H polytype of silicon carbide (4H-SiC) under a carbon-rich condition. We
applied a hybrid functional that reproduces the experimental bandgap of SiC
well and offers reliable defect properties. For point defects, we investigated
single vacancies, antisites, and interstitials of Si and C on relevant sites.
For carbon clusters, we systematically introduced two additional C atoms into
the perfect 4H-SiC lattice with and without removing Si atoms and performed
structural optimization to identify stable defect configurations. We found that
neutral Si antisites are energetically favorable among Si-point defects in a
wide range of the Fermi level position around the intrinsic regime, whereas
negatively-charged Si vacancies and a positively-charged Si interstitial on a
site surrounded by three Si and three C atoms become favorable under n- and
p-type conditions, respectively. For C-point defects, neutral C antisites are
favorable under intrinsic and n-type conditions, whereas positively-charged C
vacancies become favorable under p-type conditions. We also found that a
di-carbon antisite is more favorable than a C-split interstitial, which is the
most stable form of single C interstitials.
","[""This research aims to understand the formation and behavior of defects in 4H-SiC, which is crucial for improving the material's performance in electronic devices.""]","['First-principles calculations were used to study defects in 4H-SiC', 'Various point defects and carbon clusters were investigated using a hybrid functional', 'The energetically favorable defects under different conditions were identified.']","['Computational Materials Science', 'Semiconductor Physics', 'Defect Physics', 'Solid State Chemistry']",30 - 50,8,6,3,7
Carbon cycling and habitability of massive Earth-like exoplanets,"  As the number of detected rocky extrasolar planets increases, the question of
whether their surfaces could be habitable is becoming more pertinent. On Earth,
the long-term carbonate silicate cycle is able to regulate surface temperatures
over timescales larger than one million years. Elevated temperatures enhance
weathering, removing CO$_2$ from the atmosphere, which is subducted into the
mantle. At mid-ocean ridges, CO$_2$ is supplied to the atmosphere from the
interior. The carbon degassing flux is controlled by the melting depth beneath
mid-ocean ridges and the spreading rate, influenced by the pressure- and
temperature-dependent mantle viscosity. The influences of temperature and
pressure on mantle degassing become increasingly important for more massive
planets. Here, we couple a thermal evolution model of Earth-like planets of
different masses with a model of the long-term carbon cycle and assess their
surface temperature evolution. We find that the spreading rate at 4.5 Gyr
increases with planetary mass up to 3 $M_\oplus$, since the
temperature-dependence of viscosity dominates over its pressure-dependency. For
higher mass planets, pressure-dependence dominates and the plates slow down. In
addition, the effective melting depth at 4.5 Gyr as a function of planetary
mass has its maximum at 3 $M_\oplus$. Altogether, at 4.5 Gyr, the degassing
rate and therefore surface temperature have their maximum at 3 $M_\oplus$. This
work emphasizes that both age and mass should be considered when predicting the
habitability of exoplanets. Despite these effects, the long-term carbon cycle
remains an effective mechanism that regulates the surface temperature of
massive Earth-like planets.
",['This research aims to understand how planetary mass influences long-term habitability on rocky exoplanets.'],"['The paper examines how planetary mass affects surface habitability through the carbonate silicate cycle', 'It finds that degassing rates and surface temperatures peak for planets around 3 Earth masses', 'The long-term carbon cycle can regulate surface temperatures on massive Earth-like planets.']","['Planetary Science', 'Exoplanetology', 'Geophysics', 'Astrobiology']",30 - 60,8,7,5,7
"Transconductance and Coulomb blockade properties of in-plane grown
  carbon nanotube field effect transistors","  Single electron transistors (SETs) made from single wall carbon nanotubes
(SWCNTs) are promising for quantum electronic devices operating with ultra-low
power consumption and allow fundamental studies of electron transport. We
report on SETs made by registered in-plane growth utilizing tailored nanoscale
catalyst patterns and chemical vapor deposition. Metallic SWCNTs have been
removed by an electrical burn-in technique and the common gate hysteresis was
removed using PMMA and baking, leading to field effect transistors with large
on/off ratios up to 10^5. Further segmentation into 200 nm short semiconducting
SWCNT devices created quantum dots which display conductance oscillations in
the Coulomb blockade regime. The demonstrated utilization of registered
in-plane growth opens possibilities to create novel SET device geometries which
are more complex, i.e. laterally ordered and scalable, as required for advanced
quantum electronic devices.
",['This research aims to develop more efficient and scalable methods for creating single electron transistors using carbon nanotubes for advanced quantum electronic devices.'],"['The paper reports on single electron transistors made from carbon nanotubes using a registered in-plane growth method', 'Metallic nanotubes were removed and hysteresis was addressed, resulting in transistors with high on/off ratios', 'Segmentation created quantum dots displaying conductance oscillations, opening possibilities for more complex quantum electronic devices.']","['Nanotechnology', 'Quantum electronics', 'Materials science', 'Semiconductor devices']",50 - 100,8,7,4,7
"Optimal Climate Strategy with Mitigation, Carbon Removal, and Solar
  Geoengineering","  Until recently, analysis of optimal global climate policy has focused on
mitigation. Exploration of policies to meet the 1.5{\deg}C target have brought
carbon dioxide removal (CDR), a second instrument, into the climate policy
mainstream. Far less agreement exists regarding the role of solar
geoengineering (SG), a third instrument to limit global climate risk.
Integrated assessment modelling (IAM) studies offer little guidance on
trade-offs between these three instruments because they have dealt with CDR and
SG in isolation. Here, I extend the Dynamic Integrated model of Climate and
Economy (DICE) to include both CDR and SG to explore the temporal ordering of
the three instruments. Contrary to implicit assumptions that SG would be
employed only after mitigation and CDR are exhausted, I find that SG is
introduced parallel to mitigation temporary reducing climate risks during the
era of peak CO2 concentrations. CDR reduces concentrations after mitigation is
exhausted, enabling SG phasing out.
","['This research aims to explore the optimal temporal ordering and trade-offs between mitigation, carbon dioxide removal, and solar geoengineering as climate policy instruments.']","['The paper extends the DICE model to include both carbon dioxide removal (CDR) and solar geoengineering (SG) alongside mitigation', 'It finds that SG is introduced in parallel with mitigation to temporarily reduce climate risks during peak CO2 concentrations', 'CDR is used after mitigation is exhausted to reduce concentrations, allowing SG to be phased out.']","['Climate Policy', 'Integrated Assessment Modeling', 'Geoengineering', 'Environmental Economics']",50 - 150,7,8,6,7
"Water-stable MOFs and Hydrophobically Encapsulated MOFs for CO2 Capture
  from Ambient Air and Wet Flue Gas","  The extra CO2 that has already been released into the atmosphere has to be
removed in order to create a world that is carbon neutral. Technologies have
been created to remove carbon dioxide from wet flue gas or even directly from
ambient air, however these technologies are not widely deployed yet. New
generations of creative CO2 capture sorbents have been produced as a
consequence of recent improvements in material assembly and surface chemistry.
We summarize recent progress on water-stable and encapsulated metal-organic
frameworks (MOFs) for CO2 capture under a wide range of environmental and
operating conditions. In particular, newly developed water-stable MOFs and
hydrophobic coating technologies are discussed with insights into their
materials discovery and the synergistic effects between different components of
these hybrid sorbent systems. The future perspectives and directions of
water-stable and encapsulated MOFs are also given for Direct Air Capture of CO2
and CO2 capture from wet flue gas.
",['This research aims to address the challenge of efficiently capturing and removing CO2 from the atmosphere and industrial emissions to mitigate climate change.'],"['CO2 removal is necessary for carbon neutrality', 'New sorbents, especially water-stable and encapsulated MOFs, show promise for CO2 capture', 'The paper reviews recent progress and future perspectives of these materials for CO2 capture from air and wet flue gas.']","['Materials Science', 'Environmental Engineering', 'Chemical Engineering', 'Climate Change Mitigation']",50 - 150,6,7,8,8
"Molecular dynamics of cleavage and flake formation during the
  interaction of a graphite surface with a rigid nanoasperity","  Computer experiments concerning interactions between a graphite surface and
the rigid pyramidal nanoasperity of a friction force microscope tip when it is
brought close to and retracted from the graphitic sample are presented.
Covalent atomic bonds in graphene layers are described using a Brenner
potential and tip-carbon forces are derived from the Lennard-Jones potential.
For interlayer interactions a registry-dependent potential with local normals
is used. The behavior of the system is investigated under conditions of
different magnitudes of tip-sample interaction and indentation rates. Strong
forces between the nanoasperity and carbon atoms facilitate the cleavage of the
graphite surface. Exfoliation, i. e. total removal of the upper graphitic
layer, is observed when a highly adhesive tip is moved relative to the surface
at low rates, while high rates cause the formation of a small flake attached to
the tip. The results obtained may be valuable for enhancing our understanding
of the superlubricity of graphite.
",['This research aims to better understand the atomic-scale interactions and mechanisms involved in the friction and wear processes of graphite surfaces.'],"['Computer simulations examine interactions between a graphite surface and a microscope tip', 'Different interaction strengths and indentation rates are tested, showing potential for surface cleavage and exfoliation', ""The results may help understand graphite's superlubricity properties.""]","['Nanotribology', 'Computational Materials Science', 'Surface Physics', 'Atomic Force Microscopy']",30 - 80,8,7,4,6
